number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_split,state
86,0.4218096910463636,2026-07-03 11:59:01.678231,2026-07-03 11:59:04.698706,0 days 00:00:03.020475,37,2,0.9635325496070962,9,COMPLETE
87,0.42892123916218583,2026-07-03 11:59:04.698782,2026-07-03 11:59:07.811036,0 days 00:00:03.112254,42,3,0.6521112243212557,2,COMPLETE
88,0.40799951843044624,2026-07-03 11:59:07.811111,2026-07-03 11:59:10.506262,0 days 00:00:02.695151,34,1,0.5961421327722112,6,COMPLETE
89,0.4201810676502772,2026-07-03 11:59:10.506337,2026-07-03 11:59:13.634172,0 days 00:00:03.127835,40,3,0.9245465213095061,25,COMPLETE
90,0.3686857089396408,2026-07-03 11:59:13.634254,2026-07-03 11:59:15.633233,0 days 00:00:01.998979,37,5,0.023239864255078513,7,COMPLETE
91,0.42852463209964425,2026-07-03 11:59:15.633308,2026-07-03 11:59:18.885385,0 days 00:00:03.252077,41,3,0.6516502454387334,2,COMPLETE
92,0.42676009961472217,2026-07-03 11:59:18.885461,2026-07-03 11:59:22.371154,0 days 00:00:03.485693,42,4,0.7297507904464695,3,COMPLETE
93,0.42337519785701583,2026-07-03 11:59:22.371230,2026-07-03 11:59:25.446648,0 days 00:00:03.075418,39,2,0.6585839949623158,2,COMPLETE
94,0.42694628857921335,2026-07-03 11:59:25.446724,2026-07-03 11:59:28.445629,0 days 00:00:02.998905,43,3,0.5490107769124518,4,COMPLETE
95,0.4274386312099042,2026-07-03 11:59:28.445706,2026-07-03 11:59:31.995811,0 days 00:00:03.550105,47,4,0.9727105536876387,5,COMPLETE
96,0.4140952017382524,2026-07-03 11:59:31.995865,2026-07-03 11:59:34.887209,0 days 00:00:02.891344,35,1,0.7606056755093124,3,COMPLETE
97,0.42861841286263047,2026-07-03 11:59:34.887286,2026-07-03 11:59:38.011867,0 days 00:00:03.124581,45,3,0.7328853382393679,8,COMPLETE
98,0.4239729109316583,2026-07-03 11:59:38.011919,2026-07-03 11:59:41.042317,0 days 00:00:03.030398,38,2,0.852754065198543,6,COMPLETE
99,0.4256147123220191,2026-07-03 11:59:41.042393,2026-07-03 11:59:44.488881,0 days 00:00:03.446488,32,4,0.7071117527341688,4,COMPLETE
