index,Code,year,n_days,mean,std,min,max
31,1041A,2016,366,75.63,60.56,11.04,379.38
31,1041A,2017,365,68.03,49.43,13.61,315.12
31,1041A,2018,360,61.18,38.38,16.21,346.57
31,1041A,2019,364,53.76,39.1,8.06,283.46
32,1042A,2015,360,49.19,38.84,4.12,184.3
32,1042A,2016,366,41.95,35.29,5.21,237.3
32,1042A,2017,365,39.74,33.8,6.62,243.31
32,1042A,2018,359,30.67,26.23,4.62,231.17
32,1042A,2019,364,39.64,37.16,4.92,332.67
33,1043A,2015,364,49.29,40.8,3.46,233.92
33,1043A,2016,366,47.79,40.91,3.79,250.61
33,1043A,2017,365,41.39,36.75,6.0,392.94
33,1043A,2018,358,36.33,28.76,4.75,231.39
33,1043A,2019,363,40.16,33.49,4.42,248.0
34,1044A,2015,364,47.34,37.41,3.28,218.91
34,1044A,2016,366,48.75,34.93,6.17,227.45
34,1044A,2017,365,47.69,34.64,10.92,313.17
34,1044A,2018,360,45.67,30.26,7.9,221.09
34,1044A,2019,364,43.75,33.0,6.3,279.08
35,1045A,2015,357,48.59,41.17,2.71,248.67
35,1045A,2016,366,45.85,39.48,3.54,221.13
35,1045A,2017,285,39.77,35.04,6.79,307.89
36,1046A,2015,364,42.72,35.34,2.1,207.54
36,1046A,2016,366,46.72,41.02,3.04,271.91
36,1046A,2017,365,48.36,38.69,8.54,387.61
36,1046A,2018,360,42.94,32.77,6.45,238.77
36,1046A,2019,363,42.13,33.01,5.25,277.38
37,1047A,2015,364,86.76,62.06,7.65,451.58
37,1047A,2016,366,79.54,75.07,6.53,655.2
37,1047A,2017,365,80.02,52.4,14.45,327.88
37,1047A,2018,360,69.9,52.77,12.74,322.67
37,1047A,2019,361,67.37,55.09,11.47,339.83
38,1048A,2015,362,92.48,66.62,5.96,604.33
38,1048A,2016,366,81.54,76.69,6.82,683.0
38,1048A,2017,365,88.94,52.82,14.38,310.42
38,1048A,2018,360,65.41,52.28,7.12,319.58
38,1048A,2019,364,63.59,45.47,8.75,313.21
39,1049A,2015,364,97.13,64.35,11.19,519.3
39,1049A,2016,366,88.56,80.46,7.5,754.17
39,1049A,2017,365,87.37,53.64,17.08,348.67
39,1049A,2018,360,75.11,50.71,11.47,321.12
39,1049A,2019,364,68.64,55.72,9.38,407.08
40,1050A,2015,363,88.22,60.78,9.95,383.0
40,1050A,2016,365,76.25,78.27,9.21,683.04
40,1050A,2017,365,86.47,59.13,14.71,351.46
40,1050A,2018,360,65.56,48.82,7.17,284.75
40,1050A,2019,364,63.35,50.77,6.79,292.95
