index,cemetery_100m,commercial_100m,farmland_100m,forest_100m,grass_100m,industrial_100m,meadow_100m,military_100m,nature_reserve_100m,park_100m,recreation_ground_100m,residential_100m,retail_100m,scrub_100m,cemetery_500m,commercial_500m,farmland_500m,farmyard_500m,forest_500m,grass_500m,industrial_500m,meadow_500m,military_500m,nature_reserve_500m,orchard_500m,park_500m,recreation_ground_500m,residential_500m,retail_500m,scrub_500m,cemetery_1000m,commercial_1000m,farmland_1000m,farmyard_1000m,forest_1000m,grass_1000m,industrial_1000m,meadow_1000m,military_1000m,nature_reserve_1000m,orchard_1000m,park_1000m,recreation_ground_1000m,residential_1000m,retail_1000m,scrub_1000m,cemetery_1500m,commercial_1500m,farmland_1500m,farmyard_1500m,forest_1500m,grass_1500m,industrial_1500m,meadow_1500m,military_1500m,nature_reserve_1500m,orchard_1500m,park_1500m,quarry_1500m,recreation_ground_1500m,residential_1500m,retail_1500m,scrub_1500m,cemetery_2000m,commercial_2000m,farmland_2000m,farmyard_2000m,forest_2000m,grass_2000m,industrial_2000m,meadow_2000m,military_2000m,nature_reserve_2000m,orchard_2000m,park_2000m,quarry_2000m,recreation_ground_2000m,residential_2000m,retail_2000m,scrub_2000m
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31365.484905392423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,4704822.735817735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21955839.43382184,0.0,31365484.905459773,6273096.981091955,0.0,0.0,14114468.20745628,0.0,0.0,0.0,42343404.62236884,0.0,0.0,7057234.10372814,0.0,0.0,112915745.65965024,0.0,0.0,155259150.28201908,14114468.20745628,0.0,0.0,100369551.6974778,0.0,0.0,138008133.58403197,476755370.5630196,12546193.962184723,138008133.58403197,25092387.92436945,0.0,0.0,288562461.13024867,0.0,0.0,526940146.4117585,25092387.92436945,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31365.484905392423,31365.484905392423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,784137.1226362892,0.0,0.0,0.0,0.0,0.0,12546193.96218391,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,15682742.452729886,0.0,59594421.32037357,12546193.96218391,3136548.4905459774,0.0,0.0,0.0,7057234.10372814,70572341.0372814,7057234.10372814,28228936.41491256,0.0,0.0,0.0,0.0,63515106.933553256,0.0,0.0,239945959.5267568,28228936.41491256,7057234.10372814,25092387.92436945,62730969.81092363,0.0,25092387.92436945,276016267.16806394,200739103.3949556,75277163.77310835,0.0,0.0,0.0,0.0,250923879.2436945,0.0,0.0,727679249.806714,75277163.77310835,125461939.62184726
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,9409645.471637933,0.0,0.0,0.0,0.0,7057234.10372814,0.0,0.0,7057234.10372814,0.0,0.0,7057234.10372814,0.0,0.0,0.0,28228936.41491256,0.0,28228936.41491256,42343404.62236884,0.0,0.0,0.0,25092387.92436945,0.0,0.0,25092387.92436945,489301564.5252043,0.0,12546193.962184723,0.0,0.0,0.0,150554327.5462167,0.0,50184775.8487389,200739103.3949556,12546193.962184723,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568274.2452725784,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15682742.452729886,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,0.0,0.0,63515106.933553256,28228936.41491256,7057234.10372814,0.0,0.0,0.0,0.0,7057234.10372814,0.0,0.0,14114468.20745628,0.0,0.0,0.0,0.0,0.0,0.0,112915745.65966251,87823357.73529308,12546193.962184723,0.0,0.0,0.0,0.0,87823357.73529308,0.0,0.0,125461939.62184726,25092387.92436945,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7057234.10372814,0.0,0.0,7057234.10372814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962184723,0.0,0.0,0.0,0.0,0.0,25092387.92436945,0.0,0.0,37638581.886554174,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31365.484905392423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,0.0,9409645.471637933,0.0,12546193.96218391,0.0,0.0,0.0,21171702.31118442,0.0,0.0,7057234.10372814,42343404.62236884,7057234.10372814,0.0,0.0,0.0,0.0,49400638.72609698,0.0,0.0,70572341.0372814,7057234.10372814,0.0,0.0,75277163.77310835,0.0,0.0,37638581.886554174,526940146.4117585,12546193.962184723,0.0,25092387.92436945,0.0,0.0,138008133.58403197,0.0,0.0,175646715.47058615,25092387.92436945,12546193.962184723
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6273096.981091955,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21171702.31118442,0.0,0.0,7057234.10372814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25092387.92436945,0.0,0.0,0.0,0.0,0.0,125461939.62184726,0.0,0.0,25092387.92436945,25092387.92436945,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568274.2452725784,784137.1226362892,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6273096.981091955,3136548.4905459774,0.0,6273096.981091955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28228936.41491256,0.0,7057234.10372814,7057234.10372814,14114468.20745628,0.0,0.0,12546193.962184723,0.0,0.0,0.0,25092387.92436945,0.0,0.0,0.0,0.0,0.0,87823357.73529308,0.0,12546193.962184723,25092387.92436945,25092387.92436945,0.0
18,0.0,0.0,0.0,0.0,219558.39433774693,0.0,0.0,0.0,0.0,0.0,0.0,62730.96981078485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21171702.31117981,784137.1226362892,0.0,0.0,0.0,0.0,784137.1226362892,0.0,6273096.981090314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144281230.56511495,18819290.943275865,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,34502033.39600575,3136548.4905459774,0.0,0.0,0.0,0.0,0.0,0.0,416376812.11996025,127030213.86710653,14114468.20745628,0.0,0.0,0.0,21171702.31118442,0.0,0.0,211717023.11184412,14114468.20745628,0.0,0.0,0.0,0.0,0.0,25092387.92436945,1216980814.3319182,263470073.20587924,25092387.92436945,0.0,0.0,0.0,37638581.886554174,0.0,0.0,627309698.1092362,37638581.886554174,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,6273096.981091955,0.0,9409645.471637933,0.0,0.0,0.0,7057234.103728193,0.0,0.0,0.0,0.0,7057234.103728193,0.0,7057234.103728193,0.0,0.0,28228936.41491277,0.0,7057234.103728193,84686809.24473831,0.0,0.0,0.0,25092387.92436949,0.0,0.0,0.0,0.0,12546193.962184746,0.0,12546193.962184746,0.0,0.0,100369551.69747797,0.0,12546193.962184746,338747236.9789881,12546193.962184746,0.0
